File Name,New Manip Logic,Existing Manip Logic,Old Specs Mockup Real
002AA3E4-7C73-4F50-BAAD-DD45CD2758C0.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/efda7e12-05fa-4748-9bbf-6471381ec9f2/6956c05b568535ce2daaeefd4ef2bff2.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/efda7e12-05fa-4748-9bbf-6471381ec9f2/4e65eef86e767deafdb7ea3daf511409.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/f5aca8df-053a-4bd7-be65-1df2e0a2de42/7ae0f2a89dd19465190a015c578f4304.png
0312ED79-9C9A-4937-94EC-DF2062E3A3A2.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/efda7e12-05fa-4748-9bbf-6471381ec9f2/98d18e6ca661a28e10733a926c1a7da8.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/efda7e12-05fa-4748-9bbf-6471381ec9f2/45e227e3ba47147bc50332ebf2a128ef.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/dd7f9003-ddcf-4854-9743-7d8e15508692/2ba441671f50ed356e6df62648ffc6b7.png
06D59C5F-A569-4AE6-89EB-640B8CE820C9.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/efda7e12-05fa-4748-9bbf-6471381ec9f2/4bb21a926ac20b65d8f34f32a347015c.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/efda7e12-05fa-4748-9bbf-6471381ec9f2/4e222acdbf4411d950b4784812083d3a.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/ca57cc2d-8e6a-4231-80a1-ecf801c3931b/2f80354aee2d4e7dfcf97c115597b03a.png
070C778D-A35B-49AE-8797-503D9D77424F.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/efda7e12-05fa-4748-9bbf-6471381ec9f2/8c01749d3ed73a1b2d6903f52398ee2f.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/efda7e12-05fa-4748-9bbf-6471381ec9f2/59212b78ddc11cb8ef78cc486124e482.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/8e932062-9b19-4129-9a24-291885b69bfd/e0ca316074c4d54667b194ebf02b8054.png
09547C86-26C0-4B8A-B3BC-BAAB0BC00543.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/efda7e12-05fa-4748-9bbf-6471381ec9f2/7084916aac8ff39305a62b047c6190c3.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/efda7e12-05fa-4748-9bbf-6471381ec9f2/b4601427d6d29494995895bf11562136.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/66e57116-1758-4b47-88ec-166d50044a28/2db20d4c0aa855e1857adbee5860e56a.png
09729BDD-1434-4F6D-830C-F9CDE1E7ADE6.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/efda7e12-05fa-4748-9bbf-6471381ec9f2/bfbafd5787d10f067256bd132eb33520.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/efda7e12-05fa-4748-9bbf-6471381ec9f2/ddf66aaec2c5e6791d87a74ad867ded0.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/ff854322-f9a7-4758-a9e7-2ccf5879067a/f10f00ed6ba4537e8ec90a3f11d19c7a.png
09882F15-4C70-48E1-8792-36FDFA224F05.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/efda7e12-05fa-4748-9bbf-6471381ec9f2/8e88b9a90fe6a5c42119244d9114f096.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/efda7e12-05fa-4748-9bbf-6471381ec9f2/6de49c5439d92d790b4dd0ef1ac1ca28.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/d859d6f7-f9a6-4ff9-b813-056b8df648cc/c8c79da017754c8d93f15bae151e374f.png
09F444C3-F46C-4F5B-8149-8FAF98B89B47.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/efda7e12-05fa-4748-9bbf-6471381ec9f2/71a4677176c5ec33d9404ea8e5416ba7.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/efda7e12-05fa-4748-9bbf-6471381ec9f2/ae51c5e27fef59e0f2ff3b6711ed4df4.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/216ae203-4ab0-4bc9-b370-bb50f8c3ac35/8a84bd098cc8af4d4dd9631dfa6706f7.png
0A45686E-25F3-4F49-B69E-1A51B8D70109.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/efda7e12-05fa-4748-9bbf-6471381ec9f2/e9eed08ec3ba6a80a62b76b948bd30ee.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/efda7e12-05fa-4748-9bbf-6471381ec9f2/ab62dd39b0186c4afc44a981add12261.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/ef20a2f1-f5e6-41b5-80f5-9fa0ebef5c5f/6efbf2d7e9204e0ac5c15133b88416f4.png
0C701416-71F7-43B0-AA1B-1A4BC55AB8CC.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/efda7e12-05fa-4748-9bbf-6471381ec9f2/80547973dfb954e003426d3d36fa02c6.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/efda7e12-05fa-4748-9bbf-6471381ec9f2/3bfbd0f78ee87d48df2e546cb29c7176.png,https://s3.amazonaws.com/gooten-imgmanip/live/preview/d8698b9e-52e7-49b6-8c72-d27754dc5cae/5ecad7933e0851328871707ac5044a57.png
